"Date","Price","Open","High","Low","Vol.","Change %"
"07/14/2023","850.75","842.00","854.00","838.65","1.50M","1.65%"
"07/13/2023","836.95","867.00","867.60","830.00","2.85M","-2.08%"
"07/12/2023","854.75","812.20","866.40","809.00","7.56M","5.95%"
"07/11/2023","806.75","825.95","829.60","801.30","2.46M","-2.04%"
"07/10/2023","823.55","851.00","855.00","818.10","2.52M","-3.19%"
"07/07/2023","850.70","868.80","868.80","849.00","1.48M","-2.21%"
"07/06/2023","869.95","855.00","873.00","855.00","2.01M","1.93%"
"07/05/2023","853.45","851.00","862.00","845.95","3.51M","2.00%"
"07/04/2023","836.75","853.20","858.00","833.15","1.69M","-1.43%"
"07/03/2023","848.85","871.80","875.95","845.00","2.66M","-2.19%"
"06/30/2023","867.85","852.00","870.95","851.80","1.97M","2.15%"
"06/28/2023","849.60","856.20","862.50","843.35","2.05M","-0.34%"
"06/27/2023","852.50","839.50","857.90","838.55","2.23M","1.72%"
"06/26/2023","838.10","841.70","858.00","833.30","2.08M","-0.43%"
"06/23/2023","841.70","870.30","871.45","834.45","2.57M","-2.80%"
"06/22/2023","865.95","874.00","885.25","861.00","2.62M","-0.80%"
"06/21/2023","872.95","895.75","901.00","866.05","3.29M","-2.55%"
"06/20/2023","895.75","874.95","899.00","865.00","4.90M","2.81%"
"06/19/2023","871.25","894.00","914.95","861.30","6.09M","-2.67%"
"06/16/2023","895.15","893.00","909.90","873.80","10.23M","0.25%"
"06/15/2023","892.90","854.85","898.50","848.20","15.15M","4.21%"
"06/14/2023","856.85","836.00","864.40","833.75","8.23M","2.83%"
"06/13/2023","833.25","814.00","839.65","808.10","7.36M","2.60%"
"06/12/2023","812.15","818.30","818.60","793.80","5.92M","-0.26%"
"06/09/2023","814.30","778.00","822.00","775.55","16.07M","5.48%"
"06/08/2023","772.00","737.00","785.95","737.00","19.57M","6.19%"
"06/07/2023","727.00","712.00","730.00","711.05","4.91M","2.46%"
"06/06/2023","709.55","714.00","718.40","707.00","1.06M","-0.69%"
"06/05/2023","714.45","724.95","725.00","709.55","3.89M","-0.36%"
"06/02/2023","717.00","705.00","721.75","703.55","4.91M","2.14%"
"06/01/2023","701.95","697.35","706.00","694.70","1.60M","0.66%"
"05/31/2023","697.35","701.00","701.15","692.85","1.30M","-0.56%"
"05/30/2023","701.30","706.75","707.00","696.55","1.06M","-0.43%"
"05/29/2023","704.35","709.40","712.50","701.45","1.35M","-0.25%"
"05/26/2023","706.15","716.30","720.10","704.05","1.68M","-1.04%"
"05/25/2023","713.55","716.90","728.25","711.00","2.47M","-0.34%"
"05/24/2023","716.00","718.00","719.50","709.95","1.38M","-0.56%"
"05/23/2023","720.00","709.00","723.00","705.10","2.47M","1.89%"
"05/22/2023","706.65","720.50","724.50","704.50","2.36M","-0.49%"
"05/19/2023","710.15","710.70","714.70","701.00","1.56M","0.23%"
"05/18/2023","708.55","727.15","727.65","705.00","1.77M","-1.84%"
"05/17/2023","721.85","726.30","728.95","717.40","2.01M","-0.13%"
"05/16/2023","722.80","713.80","726.50","711.15","3.17M","1.35%"
"05/15/2023","713.15","689.00","717.00","688.15","4.57M","3.68%"
"05/12/2023","687.85","699.00","706.35","683.10","4.03M","-1.62%"
"05/11/2023","699.15","732.00","732.00","694.25","6.49M","-3.96%"
"05/10/2023","728.00","710.20","732.00","700.00","9.07M","2.90%"
"05/09/2023","707.45","726.00","742.00","701.50","10.10M","-2.18%"
"05/08/2023","723.25","695.00","729.00","695.00","15.99M","4.88%"
"05/05/2023","689.60","672.00","697.60","670.10","6.29M","2.79%"
"05/04/2023","670.85","666.50","673.00","662.55","2.15M","1.31%"
"05/03/2023","662.15","661.50","673.00","655.00","2.27M","0.21%"
"05/02/2023","660.75","663.00","676.15","657.40","2.08M","1.09%"
"04/28/2023","653.60","649.15","655.80","641.15","2.73M","1.55%"
"04/27/2023","643.65","650.00","650.70","641.00","744.62K","-0.67%"
"04/26/2023","648.00","650.00","653.30","644.00","1.06M","0.01%"
"04/25/2023","647.95","663.00","674.25","642.00","3.44M","-2.38%"
"04/24/2023","663.75","658.00","668.00","658.00","2.61M","1.33%"
"04/21/2023","655.05","656.85","661.05","646.85","1.99M","-0.27%"
"04/20/2023","656.85","651.90","669.00","650.05","5.83M","1.96%"
"04/19/2023","644.25","645.00","652.00","640.50","1.11M","-0.12%"
"04/18/2023","645.00","645.50","653.70","641.30","931.19K","-0.04%"
"04/17/2023","645.25","650.90","650.90","637.00","1.44M","-0.87%"
"04/13/2023","650.90","649.40","654.00","642.30","1.66M","0.45%"
"04/12/2023","648.00","659.00","661.60","644.45","1.67M","-1.47%"
"04/11/2023","657.70","660.00","667.00","653.10","2.30M","0.18%"
"04/10/2023","656.50","648.00","663.70","645.85","4.57M","1.66%"
"04/06/2023","645.80","641.90","656.00","636.80","4.06M","0.73%"
"04/05/2023","641.10","640.00","648.00","638.20","2.52M","0.33%"
"04/03/2023","639.00","641.00","642.80","631.00","2.98M","0.35%"
"03/31/2023","636.80","629.50","655.90","624.35","8.99M","1.18%"
"03/29/2023","629.35","620.45","636.00","611.20","4.67M","1.94%"
"03/28/2023","617.35","639.00","639.00","609.00","6.51M","-0.65%"
"03/27/2023","621.40","623.45","638.00","618.10","4.97M","0.31%"
"03/24/2023","619.45","620.75","628.50","616.05","4.23M","-0.58%"
"03/23/2023","623.05","625.25","638.80","617.60","10.30M","-0.16%"
"03/22/2023","624.05","586.85","629.40","584.90","12.98M","6.88%"
"03/21/2023","583.90","564.80","586.25","564.80","4.40M","4.42%"
"03/20/2023","559.20","575.00","576.85","556.05","2.26M","-3.31%"
"03/17/2023","578.35","578.10","585.55","570.65","4.13M","1.17%"
"03/16/2023","571.65","575.00","578.00","563.05","2.86M","-0.21%"
"03/15/2023","572.85","588.10","594.00","569.70","2.25M","-1.15%"
"03/14/2023","579.50","584.50","597.50","575.80","4.05M","-0.22%"
"03/13/2023","580.75","593.00","612.80","577.20","6.04M","-2.07%"
"03/10/2023","593.05","605.40","605.40","589.10","2.12M","-2.15%"
"03/09/2023","606.05","624.45","625.55","602.15","1.81M","-2.27%"
"03/08/2023","620.10","624.45","625.00","613.05","1.64M","-0.89%"
"03/06/2023","625.65","630.70","635.50","623.00","3.10M","-0.36%"
"03/03/2023","627.90","606.45","634.00","605.40","4.88M","3.89%"
"03/02/2023","604.40","611.00","613.70","601.10","1.84M","-0.63%"
"03/01/2023","608.25","600.25","615.60","600.00","3.93M","1.84%"
"02/28/2023","597.25","632.90","632.95","578.70","10.38M","-5.96%"
"02/27/2023","635.10","637.80","656.30","626.85","10.71M","1.86%"
"02/24/2023","623.50","610.00","638.35","605.20","7.21M","2.79%"
"02/23/2023","606.55","610.00","622.00","601.30","2.67M","-0.30%"
"02/22/2023","608.35","621.85","628.00","605.00","2.41M","-2.36%"
"02/21/2023","623.05","632.00","636.70","616.55","2.33M","-1.18%"
"02/20/2023","630.50","624.75","633.60","621.10","2.18M","0.58%"
"02/17/2023","626.85","629.00","639.90","620.65","2.38M","-0.33%"
"02/16/2023","628.90","640.00","650.00","623.50","3.83M","-1.74%"
"02/15/2023","640.05","638.00","650.00","633.35","2.30M","-0.41%"
"02/14/2023","642.70","653.90","654.70","636.65","4.12M","-1.73%"
"02/13/2023","654.00","652.00","678.70","647.70","9.92M","0.53%"
"02/10/2023","650.55","705.00","705.00","640.00","47.39M","-7.85%"
"02/09/2023","705.95","685.00","738.70","666.50","45.51M","4.44%"
"02/08/2023","675.95","618.00","698.00","614.00","36.40M","14.84%"
"02/07/2023","588.60","558.90","669.95","556.35","21.26M","5.43%"
"02/06/2023","558.30","556.00","565.95","543.05","9.14M","6.35%"
"02/03/2023","524.95","548.40","548.40","522.50","3.75M","-3.79%"
"02/02/2023","545.65","530.00","548.00","525.00","4.22M","4.16%"
"02/01/2023","523.85","535.00","543.70","515.25","2.36M","-1.33%"
"01/31/2023","530.90","536.75","537.95","527.55","1.22M","-0.60%"
"01/30/2023","534.10","516.00","537.00","511.80","2.21M","4.03%"
"01/27/2023","513.40","535.65","540.85","508.10","2.50M","-3.67%"
"01/25/2023","532.95","544.00","546.85","528.50","2.55M","-1.95%"
"01/24/2023","543.55","548.00","556.20","540.00","3.04M","-0.09%"
"01/23/2023","544.05","550.85","567.65","537.30","4.48M","-1.23%"
"01/20/2023","550.85","534.65","555.00","532.35","5.80M","3.55%"
"01/19/2023","531.95","531.80","535.10","530.05","1.41M","0.05%"
"01/18/2023","531.70","529.00","535.90","528.95","2.60M","1.06%"
"01/17/2023","526.10","556.00","556.70","522.65","5.37M","-4.96%"
"01/16/2023","553.55","561.00","565.80","549.90","2.55M","-1.17%"
"01/13/2023","560.10","543.50","564.90","533.35","9.47M","3.11%"
"01/12/2023","543.20","574.95","578.65","528.10","35.49M","-6.21%"
"01/11/2023","579.15","575.55","583.75","571.60","3.45M","0.63%"
"01/10/2023","575.55","564.00","581.70","553.65","4.27M","2.07%"
"01/09/2023","563.90","566.20","574.50","562.00","5.18M","2.28%"
"01/06/2023","551.35","540.00","563.65","540.00","6.98M","1.82%"
"01/05/2023","541.50","543.50","544.20","533.85","1.53M","0.22%"
"01/04/2023","540.30","535.05","544.95","531.55","3.15M","0.91%"
"01/03/2023","535.45","532.50","536.35","532.00","1.21M","0.63%"
"01/02/2023","532.10","531.00","536.85","527.05","1.26M","0.21%"
"12/30/2022","531.00","529.75","541.00","528.00","1.76M","0.72%"
"12/29/2022","527.20","530.00","534.00","523.35","2.00M","-1.56%"
"12/28/2022","535.55","513.00","541.70","511.10","6.87M","4.43%"
"12/27/2022","512.85","509.00","517.80","509.00","1.84M","1.69%"
"12/26/2022","504.35","479.00","510.00","479.00","3.37M","5.93%"
"12/23/2022","476.10","501.95","504.00","472.00","3.33M","-6.01%"
"12/22/2022","506.55","521.00","522.40","505.00","1.83M","-2.04%"
"12/21/2022","517.10","529.40","532.80","515.50","1.80M","-1.83%"
"12/20/2022","526.75","523.50","529.40","523.00","1.78M","0.62%"
"12/19/2022","523.50","528.90","532.35","522.50","1.62M","-0.85%"
"12/16/2022","528.00","531.70","534.05","524.50","2.10M","-0.70%"
"12/15/2022","531.70","531.85","536.90","530.00","3.17M","0.47%"
"12/14/2022","529.20","544.00","547.00","525.05","7.50M","-1.89%"
"12/13/2022","539.40","535.00","545.00","533.25","5.70M","2.01%"
"12/12/2022","528.75","544.60","554.45","525.05","7.75M","-2.91%"
"12/09/2022","544.60","544.00","548.00","527.55","20.42M","7.16%"
"12/08/2022","508.20","512.45","515.95","506.00","3.08M","-0.33%"
"12/07/2022","509.90","516.75","523.40","506.10","5.00M","-0.92%"
"12/06/2022","514.65","523.00","528.00","511.75","5.32M","-1.66%"
"12/05/2022","523.35","543.75","548.70","521.20","12.26M","-2.53%"
"12/02/2022","536.95","507.50","543.65","507.50","21.73M","7.16%"
"12/01/2022","501.05","486.50","504.70","485.25","12.96M","4.02%"
"11/30/2022","481.70","485.00","488.50","477.20","7.09M","-0.45%"
"11/29/2022","483.90","476.00","486.90","471.15","14.70M","4.85%"
"11/28/2022","461.50","444.00","479.50","441.00","19.59M","-0.80%"
"11/25/2022","465.20","454.00","475.30","448.00","19.97M","5.46%"
"11/24/2022","441.10","457.05","467.00","440.00","16.32M","-2.50%"
"11/23/2022","452.40","480.90","488.70","438.35","17.23M","-5.12%"
"11/22/2022","476.80","535.00","537.00","474.30","22.41M","-11.21%"
"11/21/2022","537.00","546.00","553.00","531.75","2.99M","-1.83%"
"11/18/2022","547.00","542.50","553.10","526.90","11.30M","1.33%"
"11/17/2022","539.80","562.75","565.75","535.00","57.20M","-10.25%"
"11/16/2022","601.45","625.00","629.00","600.00","3.55M","-4.00%"
"11/15/2022","626.50","630.00","639.50","624.00","1.60M","-1.89%"
"11/14/2022","638.55","642.00","654.90","634.15","940.84K","1.04%"
"11/11/2022","632.00","635.00","644.65","627.90","859.52K","0.81%"
"11/10/2022","626.90","644.00","644.00","624.10","784.35K","-2.60%"
"11/09/2022","643.65","655.00","668.40","640.05","1.43M","-1.17%"
"11/07/2022","651.25","653.00","659.00","645.00","878.66K","0.14%"
"11/04/2022","650.35","646.00","654.20","644.25","1.53M","1.14%"
"11/03/2022","643.05","642.60","648.75","637.05","498.54K","0.07%"
"11/02/2022","642.60","642.90","651.65","640.40","533.59K","-0.05%"
"11/01/2022","642.90","640.00","659.50","640.00","988.39K","0.70%"
"10/31/2022","638.40","645.00","645.75","635.60","582.58K","-0.69%"
"10/28/2022","642.85","653.15","654.00","639.10","774.72K","-1.08%"
"10/27/2022","649.85","660.00","663.80","645.30","669.90K","-0.99%"
"10/25/2022","656.35","640.00","659.50","631.05","1.21M","2.96%"
"10/24/2022","637.50","643.00","644.20","633.00","202.20K","1.25%"
"10/21/2022","629.60","637.60","644.00","625.00","1.01M","-0.50%"
"10/20/2022","632.75","650.00","651.00","631.00","1.46M","-3.02%"
"10/19/2022","652.45","663.90","664.75","651.00","708.62K","-1.51%"
"10/18/2022","662.45","677.00","680.75","660.00","747.18K","-1.50%"
"10/17/2022","672.55","676.00","680.80","670.50","516.96K","-1.31%"
"10/14/2022","681.50","698.20","698.70","676.60","633.18K","-0.67%"
"10/13/2022","686.10","704.00","704.75","684.00","616.00K","-2.08%"
"10/12/2022","700.70","713.00","715.45","697.00","693.02K","-1.05%"
"10/11/2022","708.10","729.95","737.35","705.90","1.08M","-2.63%"
"10/10/2022","727.25","707.00","745.45","703.25","3.15M","2.80%"
"10/07/2022","707.45","688.60","711.15","687.10","1.30M","2.74%"
"10/06/2022","688.60","679.95","693.75","676.60","894.53K","2.02%"
"10/04/2022","674.95","670.90","677.35","664.10","743.80K","2.27%"
"10/03/2022","660.00","644.75","665.90","641.75","1.62M","3.46%"
"09/30/2022","637.95","637.65","649.30","631.15","863.95K","0.92%"
"09/29/2022","632.15","655.00","655.00","629.55","649.59K","-1.72%"
"09/28/2022","643.20","660.00","664.00","639.10","632.38K","-2.55%"
"09/27/2022","660.00","665.00","671.10","657.00","512.98K","0.38%"
"09/26/2022","657.50","691.10","692.60","651.00","881.20K","-5.07%"
"09/23/2022","692.60","706.00","707.00","688.00","1.57M","1.11%"
"09/22/2022","685.00","683.00","692.40","680.05","613.12K","0.07%"
"09/21/2022","684.55","699.95","705.00","680.70","854.83K","-1.85%"
"09/20/2022","697.45","710.10","714.80","690.55","892.04K","-1.34%"
"09/19/2022","706.95","720.50","725.00","702.00","967.98K","-1.62%"
"09/16/2022","718.60","730.00","731.20","686.85","2.35M","-1.53%"
"09/15/2022","729.75","730.00","736.80","720.00","826.89K","0.57%"
"09/14/2022","725.65","724.00","732.95","711.95","1.39M","-1.37%"
